Site Name ;Expected Utilisation%;Jan;Feb;Mar;Apr;May;Jun;Jul;Aug;Sep;Oct;Nov;Dec
21 Melrose;0,9;2371;2680;2183;1874;1823;1629;1814;2117;2275;2408;2356;2482
African Global Plastics;0,85;22516;19786;20148;16765;15972;14367;15908;18527;20404;22321;22521;23778
Alpine Heath Residential ;0,9;4802;4304;4546;4620;4991;4762;4681;5250;4694;4732;4822;4805
Bendstore Plaza Shops;0,85;16262;13987;15463;14886;14412;13050;13735;15350;15432;14821;14696;16154
Bendstore Spar;0,9;51315;44103;48739;46850;45273;40944;43113;48267;48603;46749;46388;50640
Beyerskloof;0,9;13787;11360;10881;7828;5954;5166;5565;6961;8946;11315;12713;13879
BP Parys ;0,9;8151;7235;7076;5755;5424;4787;5360;6363;7219;7839;8192;8228
Buffalo Rock;0,9;2202;1984;2128;1768;1632;1481;1613;1764;1868;1901;1835;1986
Checkers De Aar;0,9;26690;20675;20095;16286;13519;11865;13589;17109;19507;24081;25889;27993
Checkers Silverlakes Gen;0,9;21105;18221;18368;15104;14130;12620;14002;16642;18626;20504;20601;22025
Checkers Silverlakes No Gen;0,9;21105;18221;18368;15104;14130;12620;14002;16642;18626;20504;20601;22025
Checkrite Inanda;0,9;8664;8100;7806;6534;5593;5060;5372;6485;6915;8033;8013;8547
Club Houghton;0,9;5767;4829;4913;4150;3938;3463;3875;4560;5034;5613;5712;6027
Coldstar International;0,85;4897;4496;4549;3805;3523;3188;3416;3857;3806;4239;4335;5058
Cultura Fresh;0,9;11798;10270;10571;8336;6724;5860;6453;7492;8864;10362;10973;11631
Demco;0,8;33516;28777;29186;24678;23381;20986;23255;27306;30312;33024;33214;35066
Engen Lotus Gardens;0,9;2462;2300;2282;2198;2227;2480;2350;2520;2436;2426;2356;2437
Giba Gorge Main;0,8;13584;12445;12742;10942;9881;9235;9756;10822;10916;12133;12326;13474
Giba Gorge Storage;0,75;11385;10144;10396;8842;7964;7364;7865;8759;8956;9958;10010;11122
Golden Spot Resort;0,9;4043;3650;3957;3280;3050;2790;3045;3299;3493;3509;3348;3592
Golden Spot Shops;0,9;3618;3254;3608;2963;2723;2462;2702;2974;3147;3180;3013;3204
Grootpan;0,9;0;0;0;0;0;0;0;0;0;0;0;0
HB Dunn;0,9;4235;3699;3788;3184;3053;2752;3029;3547;3911;4103;4120;4378
Helderberg Collage ;0,9;39601;33065;32220;23614;17953;14926;16775;20887;26690;33025;37112;40126
Hilston Rotoflo;0,9;29391;25677;24205;21551;19301;17077;19011;22170;24662;27451;28825;28328
Huis Herfsblaar;0,9;30215;26382;27566;23747;22569;20228;22354;26969;28841;30258;29381;31219
IPID - Floor 4;0,9;7574;6514;6841;6183;5925;5296;5785;6585;7019;7479;7553;7415
IPID - Floor 6;0,9;7574;6514;6841;6183;5925;5296;5785;6585;7019;7479;7553;7415
Kool Village ;0,9;12213;10571;10619;9140;8593;7681;8551;9997;10702;11834;12129;12999
Makalali;;0;0;0;0;0;0;0;0;0;0;0;0
Mambha Cash & Carry;0,9;22242;19451;19575;15792;13478;12125;13100;15450;16583;19433;20011;22486
Mathe Group Company;0,85;61303;55639;58024;48946;44311;40933;43977;48621;50331;55230;56584;61076
Mdluli;0,8;14107;13178;15390;13652;13509;12879;13681;13878;13503;12755;11785;12302
Medipost;0,9;53362;43751;40931;29081;21434;17483;19784;25524;33382;43038;49566;54136
Meredale Heights ;0,9;5361;4869;5370;5151;5477;5297;5701;5970;5916;5815;5411;5531
Monument Park Checkers;0,9;40416;33989;35132;29903;28383;25642;28362;33007;36521;39683;39749;42520
Nkambeni Industrial;1;23544;21677;24212;20861;20012;18485;20016;21052;21403;20962;19856;21184
Olievenhoutbosch 1;0,9;46872;40990;39990;34783;32139;28357;31229;36815;40778;46212;46653;47657
Olievenhoutbosch 2;0,9;12370;10802;10537;9174;8503;7546;8307;9721;10756;12191;12263;12540
Opal Students ;0,9;5685;4781;4936;4360;4194;3819;4217;4845;5300;5667;5624;5996
Orthochem Bethlehem;0,9;41208;35976;36560;33604;32959;30018;32460;36506;37371;40183;40331;42601
Plastiplate ;0,75;8591;7466;7932;6987;6859;6375;6947;7853;8347;8787;8552;9109
PNB Unlimited;0,8;11541;9862;10345;8820;8538;7700;8487;9810;10706;11410;11340;12103
Q-lity Meat;0,9;4894;4527;4754;4172;4118;3729;4106;4625;4797;5069;4863;5082
Quintondale;0,9;5902;5299;5702;5086;5205;4824;5303;5833;6022;6129;5929;6187
Riverside Lodge ;0,85;17099;15031;16289;14250;14783;13871;15110;16764;16935;17584;16597;17731
Sakhumnotho;0,845325;5191;4657;5018;4499;4604;4265;4695;5144;5295;5391;5211;5440
SaveMore Alldays - Store;0,9;23006;19888;21953;21444;20688;18646;19630;22999;22670;22046;22063;23333
Savemore Liquor Alldays ;0,85;3308;2857;3156;3082;2973;2679;2819;3304;3256;3170;3173;3354
Saverite Durban;0,95;12490;10878;10897;8758;7449;6753;7274;8569;9196;10754;11159;12688
Saverite PMB;0,95;13218;10966;11441;10004;8980;7800;8636;9830;10569;11606;12483;13394
Secunda Plaza choppies;0,9;23065;20355;21716;18848;18701;17164;18822;21498;22688;22842;22508;23495
Secunda Plaza Shops;0,9;4360;3826;4077;3574;3623;3361;3666;4104;4274;4289;4250;4446
Shoprite Dube ;0,9;23724;20448;19986;17182;15369;13381;15024;18071;20545;23412;23584;24027
Shoprite Hillbrow;0,95;20565;17491;18247;15298;14953;13275;14678;17063;18937;20481;20366;21891
Shoprite Ladybrand ;0,95;37514;31212;29700;24899;21981;18983;21552;26041;29889;34705;36882;40111
Shoprite Mini Ganyesa;0,9;34075;28397;28666;24412;22267;19792;21775;25973;28985;33059;34367;36320
Shoprite Naledi;0,9;20588;17538;17897;14675;13272;11571;12991;15872;18318;20121;20573;21930
Shoprite Newlands;0,9;30722;24283;24146;18390;18961;15280;17362;19303;18141;22549;22924;28392
Shoprite Thokoza;0,9;18584;16102;15901;13660;12621;11094;12368;14485;16189;18663;18590;19022
Spring Glade;0,85;16639;14215;15137;13177;12814;11579;12893;14837;15996;16796;16463;17399
SR Morula TF 1;0,9;9308;8002;7804;6785;6244;5524;6087;2298;7864;9007;8999;9241
SR Morula TF 1 - Shoprite;0,9;28700;24909;24570;21389;19724;17431;19182;7231;24781;28128;28061;28704
SR Morula TF 2;0,9;9602;8297;8141;7017;6430;5669;6247;2368;8154;9353;9354;9582
Thakadu Industrial;;0;0;0;0;0;0;0;0;0;0;0;0
The Alec;0,925;7605;6473;6530;5156;4886;4375;4862;5592;6522;7452;7534;8085
Three Peaks;0,75;4274;3811;3907;3268;2930;2665;2851;3237;3328;3776;3830;4316
TPF Foods ;0,75;3784;3270;3533;3063;3094;2834;3103;3492;3723;3899;3733;4016
Trouw Nutrition;0,85;13442;12055;12858;11531;11786;11019;12024;13263;13540;13925;13508;14235
U Save Botrivier ;0,9;7300;6224;6049;5131;4622;3931;4065;4723;5252;6490;6814;7296
Watt Place Rotoflo;0,9;28028;23854;24144;20043;19022;17054;18900;22066;24527;27257;26974;29029
Zwartop Golf Course;0,9;#VALUE!;#VALUE!;#VALUE!;#VALUE!;#VALUE!;#VALUE!;#VALUE!;#VALUE!;#VALUE!;#VALUE!;#VALUE!;#VALUE!
Shoprite Ekhaya;0,9;28381;24379;23351;19887;17745;15503;17358;20842;23841;27285;27842;28779
Grootpan;0,9;29075;26717;27941;25610;25802;23429;25632;28550;29561;31417;30121;29445
Roan Foods;1;20178;17954;19150;18060;18124;15908;16827;19405;19981;22401;20125;20771
Engen Kaalfontein ;0,9;17371;15078;14634;12420;11402;9989;10986;13109;14833;17053;17240;17465
Checkers Lichtenburg;0,9;26451;23216;23035;19931;18754;16768;18261;21311;23659;26866;27154;27402
Alpine Heath Resort;0,9;28877;25885;27341;27824;29921;28644;28051;31649;28250;28466;28992;28904
